id,food_type
3022,Mughlai
3022,North Indian
3022,Indian
3022,Kebabs
3022,Tandoor
3025,North Indian
3025,Chinese
3025,Bengali
3031,North Indian  Fast Food  Tandoor  Biryani  Kebabs  Snacks  Chinese
3063,Mughlai
3063,North Indian
3063,Biryani
3063,Kebabs
3063,Desserts
3071,North Indian
3071,Indian
3071,Tandoor
3071,Kebabs
3071,Punjabi
3071,Home Food
3071,Chinese
3074,North Indian
3074,South Indian
3207,Fast Food
3265,Fast Food
3265,Beverages
3265,Pizzas
3265,Street Food
3265,Snacks
3279,Chinese
3279,Desserts
3324,Andhra
3324,Seafood
3326,North Indian
3326,Chinese
3326,South Indian
3329,North Indian
3329,Chinese
3329,South Indian
3329,Fast Food
3331,North Indian
3331,South Indian
3331,Fast Food
3332,Mughlai
3332,North Indian
3332,Chinese
3332,Arabian
3350,North Indian
3350,Chinese
3350,Biryani
3350,Seafood
3369,American
3369,Desserts
3369,Continental
3369,Italian
3439,Italian
3439,Chinese
3439,Thai
3454,North Indian
3454,Mughlai
3531,Lebanese
3531,North Indian
3531,Afghani
3531,Mughlai
3531,Combo
3531,Biryani
3531,Kebabs
3531,Mediterranean
3531,Arabian
3531,Middle Eastern
3531,Desserts
3549,Sweets
3549,Bakery
3549,Desserts
3549,Fast Food
3549,Street Food
3549,Chaat
3813,Chinese
3813,Seafood
3830,North Indian
3830,Chinese
3830,Continental
3830,Asian
3830,Desserts
3830,Beverages
3835,Desserts
3835,Continental
3835,Fast Food
3855,Chinese
3855,Thai
3855,Malaysian
3889,North Indian
3889,Chinese
3889,Biryani
3914,Ice Cream  Desserts
4051,Chinese
4051,Fast Food
4064,Lebanese
4064,Fast Food
4064,Snacks
4064,Arabian
4086,Salads
4086,Healthy Food
4087,Biryani
4087,Mughlai
4087,North Indian
4087,Chinese
4138,Biryani
4138,Tandoor
4138,Chinese
4138,Indian
4138,Kebabs
4138,Desserts
4188,Chinese  Italian  Desserts  Bakery  Fast Food
4248,Biryani
4248,Chinese
4248,South Indian
4248,North Indian
4248,Tandoor
4252,Biryani
4252,Chinese
4252,South Indian
4252,North Indian
4252,Tandoor
4256,Biryani
4256,Chinese
4256,North Indian
4256,South Indian
4320,Biryani
4320,Tandoor
4320,Chinese
4320,Indian
4320,Kebabs
4320,Desserts
4338,American
4338,Fast Food
4429,Pastas  Beverages  Fast Food
4430,Biryani
4430,Mughlai
4430,North Indian
4430,Indian
4430,Kebabs
4430,Tandoor
4484,North Indian
4484,Biryani
4484,Continental
4484,Italian
4558,North Indian
4558,Chinese
4558,South Indian
4558,Fast Food
4565,Mughlai
4565,North Indian
4587,North Indian
4587,Chinese
4599,North Indian
4599,Punjabi
4599,Biryani
4600,Combo
4600,Chinese
4600,Continental
4600,Italian
4600,Fast Food
4600,Mexican
4614,Biryani
4614,North Indian
4614,Chinese
4650,Biryani
4650,Tandoor
4650,Chinese
4650,Indian
4650,Desserts
4650,Kebabs
4650,Mughlai
4739,American
4739,Steakhouse
4739,Italian
4739,Mexican
4739,Continental
4739,Mediterranean
4739,Desserts
4739,Grill
4739,Salads
4739,Pastas
4739,Pizzas
4739,Lebanese
4774,Italian
4774,Pizzas
4774,Fast Food
4774,Beverages
4774,Desserts
4776,Mughlai
4776,North Indian
4776,Chinese
4776,Seafood
4781,Chinese
4783,Ice Cream
4783,Pizzas
4783,Fast Food
4783,Beverages
4783,Desserts
4810,Biryani
4810,Chinese
4810,South Indian
4810,North Indian
4810,Tandoor
4841,Italian
4841,Pizzas
4841,Fast Food
4853,Biryani
4956,Chinese  Thai  Fast Food
5107,Biryani
5107,Mughlai
5107,Tandoor
5107,Chinese
5107,Desserts
5107,Ice Cream
5107,Beverages
5119,Italian
5119,European
5120,North Indian
5120,Chinese
5120,Seafood
5120,Continental
5139,American
5139,Fast Food
5150,Fast Food
5157,Chinese
5157,Oriental
5157,Thai
5157,Pan-Asian
5157,Seafood
5157,Asian
5157,Desserts
5172,Desserts
5172,Bakery
5172,Beverages
5208,Street Food
5208,Fast Food
5221,Mughlai
5221,North Indian
5221,Chinese
5221,Fast Food
5247,Ice Cream
5247,Desserts
5251,North Indian
5251,Chinese
5255,Chinese
5255,Oriental
5255,Thai
5255,Pan-Asian
5255,Seafood
5255,Asian
5255,Desserts
5285,Biryani
5285,Hyderabadi
5285,Indian
5285,Street Food
5297,Italian
5297,Continental
5297,European
5297,Desserts
5370,North Indian
5370,Fast Food
5370,Biryani
5370,Cafe
5370,Snacks
5370,Beverages
5370,Bakery
5408,North Indian
5408,Chinese
5408,Biryani
5408,Mughlai
5408,Parsi
5408,Fast Food
5496,Fast Food
5496,Bakery
5496,Beverages
5496,Snacks
5496,Desserts
5504,Chinese
5538,North Indian
5538,Chinese
5538,Biryani
5549,North Indian
5573,Chinese
5573,Oriental
5573,Thai
5573,Pan-Asian
5573,Seafood
5573,Asian
5573,Desserts
5582,North Indian
5582,Chinese
5582,Continental
5582,Mughlai
5596,Desserts
5596,Pastas
5624,Fast Food
5624,Healthy Food
5624,Salads
5624,Snacks
5624,Desserts
5624,Beverages
5691,European
5691,Italian
5691,American
5691,Pastas
5691,Salads
5691,Juices
5691,Desserts
5691,Combo
5743,Mughlai
5743,North Indian
5743,Chinese
5743,Biryani
5802,North Indian
5802,Chinese
5802,Continental
5862,North Indian
5862,Chinese
5878,Healthy Food
5878,Salads
5878,Fast Food
5878,Continental
5878,North Indian
5878,Chinese
5882,Bengali
5893,Desserts
5893,Fast Food
5908,Steakhouse
5908,American
5908,Continental
5916,Goan
5916,Mangalorean
5916,Kerala
5916,South Indian
5916,Seafood
5916,Coastal
5916,Continental
5989,Desserts  Bakery
5994,Chinese
5994,Nepalese
5994,Tibetan
6075,American
6075,Healthy Food
6075,Fast Food
6075,Continental
6075,Salads
6075,Beverages
6075,Desserts
6328,Mughlai
6328,North Indian
6328,Chinese
6328,Seafood
6329,Mughlai
6329,North Indian
6329,Chinese
6329,Seafood
6332,Mughlai
6332,North Indian
6332,Chinese
6345,Indian
6345,Chinese
6345,Andhra
6345,Tandoor
6358,Italian
6358,American
6493,North Indian
6493,Chinese
6493,Seafood
6493,South Indian
6518,Fast Food
6577,North Indian
6577,Biryani
6577,Chinese
6585,Bakery
6585,Pizzas
6663,Mughlai
6663,North Indian
6663,Chinese
6723,Chinese
6723,Thai
6723,Pan-Asian
6723,Seafood
6745,Snacks
6775,Mughlai
6775,Chinese
6775,Fast Food
6850,North Indian
6850,South Indian
6850,Fast Food
6851,Sweets
6851,Fast Food
6917,Pizzas  Fast Food
6924,Chinese
6924,Continental
6924,Italian
6924,Mediterranean
6924,Thai
6924,Lebanese
6924,American
6924,Asian
6924,Beverages
6924,Bakery
6924,Biryani
6924,Desserts
6924,Mexican
6924,North Indian
6924,Salads
6924,Pizzas
7002,Indian
7002,Chinese
7002,Tandoor
7029,North Indian
7029,Chinese
7029,Continental
7199,Continental
7199,Fast Food
7199,Italian
7199,Beverages
7204,Italian
7204,Indian
7204,Continental
7341,Japanese
7341,Asian
7412,Biryani  North Indian  Chinese
7415,Tandoor
7415,North Indian
7415,Biryani
7415,Beverages
7415,Desserts
7626,North Indian
7674,Ice Cream Cakes  Desserts  Bakery  Sweets  Beverages
7689,Chinese
7689,Asian
7689,Fast Food
7689,Snacks
7689,Tibetan
7776,Street Food
7784,Asian
7784,Chinese
7784,Oriental
7826,Thai
7828,Chettinad
7859,North Indian
7859,Chinese
7859,Thai
7859,Continental
7898,Indian
7898,Chinese
7898,Bengali
7940,North Indian  Chinese  Seafood
8009,Mughlai
8009,North Indian
8009,Chinese
8009,Seafood
8009,Tandoor
8040,North Indian
8040,Chinese
8040,Kebabs
8040,Biryani
8040,Mughlai
8046,Tribal
8046,Seafood
8046,Chinese
8093,North Indian
8093,Biryani
8093,Kerala
8139,Continental
8139,Italian
8139,Italian-American
8175,Chinese
8175,Mughlai
8175,Indian
8175,Snacks
8175,Popular Brand Store
8175,Fast Food
8205,North Indian
8205,Chinese
8205,Continental
8213,Italian
8213,American
8241,French
8241,Street Food
8272,Continental
8272,Asian
8275,Chinese
8323,North Indian
8323,Chinese
8323,Continental
8323,Fast Food
8469,North Indian
8469,Chinese
8501,Punjabi
8501,North Indian
8501,Chinese
8587,North Indian
8587,Biryani
8587,Mughlai
8687,Chinese
8687,Mexican
8687,Continental
8688,Lebanese
8698,North Indian
8698,Chinese
8708,Chinese
8751,Italian
8751,Chinese
8766,Chinese
8856,Italian
8856,Pizzas
8856,Pastas
8856,Desserts
8856,Continental
8856,Salads
8894,Bakery
8912,Fast Food  Healthy Food  Salads  Snacks  Desserts  Beverages
8952,Thai
8952,Pan-Asian
9014,Italian  Bakery
9035,Chinese
9035,Thai
9035,Pan-Asian
9035,Oriental
9035,Beverages
9035,Snacks
9035,Seafood
9035,Mughlai
9035,Tibetan
9035,Combo
9035,European
9035,Turkish
9035,Asian
9035,British
9035,Salads
9035,German
9052,Fast Food
9052,Salads
9052,Snacks
9052,Desserts
9052,Beverages
9058,Desserts
9058,Continental
9098,Mexican
9098,Continental
9104,Fast Food
9113,Italian
9121,Chinese
9121,Asian
9121,Pan-Asian
9121,Thai
9121,Oriental
9127,Italian
9127,Pizzas
9215,North Indian
9215,Indian
9215,Combo
9215,Chinese
9215,Healthy Food
9235,Desserts
9235,Bakery
9235,Salads
9235,Continental
9235,Fast Food
9235,Snacks
9235,Pastas
9250,Bengali
9250,North Indian
9250,Biryani
9250,Street Food
9292,Mughlai
9292,Chinese
9292,Tandoor
9304,South Indian
9304,Biryani
9304,Rayalaseema
9317,Mughlai
9317,North Indian
9317,Chinese
9344,Fast Food
9368,Punjabi
9368,North Indian
9368,Chinese
9371,Fast Food
9371,American
9371,Italian
9371,Beverages
9390,Mughlai
9390,Indian
9390,Chinese
9390,Biryani
9415,Desserts
9415,Asian
9415,Beverages
9415,Bakery
9415,Italian
9415,Continental
9415,Pizzas
9415,Italian-American
9454,North Indian
9454,Continental
9476,Italian
9476,Pizzas
9476,Fast Food
9502,Indian
9502,Continental
9502,Tandoor
9577,North Indian
9577,Mexican
9577,Continental
9577,Italian
9739,North Indian
9739,Mughlai
9739,Tandoor
9739,Kebabs
9739,Indian
9739,Beverages
9739,Biryani
9739,Punjabi
9739,Seafood
9739,Afghani
9739,Thalis
9739,Combo
9739,Snacks
9739,Barbecue
9739,Home Food
9739,Lucknowi
9755,Ice Cream
9755,Beverages
9755,Fast Food
9755,Italian
9755,Desserts
9757,Indian
9777,Bengali
9781,Italian
9781,Desserts
9781,Continental
9782,North Indian
9782,Chinese
9782,Fast Food
9786,Chinese
9850,Seafood
9862,Pizzas
9862,Fast Food
9883,Chettinad
9883,North Indian
9883,Chinese
9883,South Indian
9883,Biryani
9911,Italian
9911,Salads
9911,Healthy Food
9911,French
9923,Indian
9932,North Indian
9932,Chinese
9932,Mexican
9932,Italian
9932,Thai
9932,Lebanese
9979,Chinese
9984,South Indian
9984,North Indian
9984,Chinese
9984,Beverages
10062,Biryani
10062,Andhra
10062,Rayalaseema
10062,South Indian
10062,North Indian
10062,Chinese
10085,Bakery  Continental
10094,Chinese
10094,Thai
10113,Bakery
10113,Cafe
10178,Bakery
10178,Desserts
10186,Chinese
10186,Fast Food
10186,Asian
10208,American
10208,Fast Food
10212,Mangalorean
10212,Biryani
10212,Seafood
10212,Chinese
10212,North Indian
10212,Desserts
10212,South Indian
10212,Combo
10238,European
10238,Italian
10238,American
10238,Pastas
10238,Salads
10238,Juices
10238,Desserts
10238,Combo
10275,Chinese
10285,Chinese
10298,Chinese
10298,Fast Food
10298,North Indian
10312,North Indian
10312,Beverages
10323,Fast Food
10323,Salads
10323,Snacks
10323,Desserts
10323,Beverages
10327,North Indian
10327,Chinese
10336,North Indian
10336,Chinese
10362,Biryani
10362,Mughlai
10362,North Indian
10362,Indian
10362,Kebabs
10362,Tandoor
10367,Fast Food  Pizzas
10376,Biryani
10376,Indian
10389,Indian
10475,Ice Cream
10475,Desserts
10485,Mughlai
10485,North Indian
10485,Chinese
10502,Fast Food
10522,Continental
10525,Chinese
10525,Seafood
10525,Thai
10525,Japanese
10537,Tandoor
10537,North Indian
10537,Chinese
10537,South Indian
10549,Street Food
10549,Desserts
10549,Sweets
10575,Pizzas
10575,Fast Food
10601,Bengali
10730,Chinese
10730,Biryani
10730,North Indian
10731,Biryani  Mughlai  North Indian  Indian  Kebabs  Tandoor  Awadhi
10750,North Indian
10750,Chinese
10806,North Indian  Chinese  Seafood
10834,Continental
10834,European
10834,Salads
10834,Italian
10847,Maharashtrian
10847,Punjabi
10847,Seafood
10852,North Indian
10852,Indian
10852,Biryani
10852,Chinese
10852,Punjabi
10855,Continental
10855,European
10951,Street Food
10951,North Indian
10951,Chinese
10951,South Indian
10951,Fast Food
10972,North Indian  Chinese
11043,Ice Cream
11043,Desserts
11043,Bakery
11051,North Indian
11051,Chinese
11051,Biryani
11092,Bakery
11092,Pizzas
11092,Snacks
11092,Chinese
11092,Italian
11092,American
11092,Sweets
11092,Desserts
11092,Beverages
11162,Pizzas
11188,North Indian
11188,Chinese
11188,Fast Food
11316,Chinese
11316,Oriental
11316,Thai
11316,Pan-Asian
11316,Seafood
11316,Asian
11316,Desserts
11322,Kerala
11510,Lebanese  Middle Eastern
11553,Biryani
11553,North Indian
11553,Chinese
11615,Street Food
11615,Chinese
11723,Mediterranean
11723,Seafood
11723,Thai
11834,Chinese
11834,Mughlai
11834,Indian
11858,Italian
11858,Continental
11929,Desserts  Fast Food  Bakery
11941,Chinese
11941,Seafood
11943,North Indian
11943,Chinese
11943,Biryani
11943,Punjabi
11943,Desserts
11943,Pan-Asian
11943,Tandoor
11943,Combo
11943,Beverages
11943,Indian
11943,Grill
12020,Italian
12046,Fast Food
12046,Salads
12046,Snacks
12046,Desserts
12046,Beverages
12054,Mughlai
12054,Street Food
12181,Chettinad
12181,North Indian
12181,Mangalorean
12181,Seafood
12401,American
12401,European
12434,Desserts
12434,Sweets
12457,North Indian
12457,Chinese
12458,Continental
12468,Continental
12614,Chinese
12614,South Indian
12624,Ice Cream
12624,Desserts
12785,Mughlai
12785,North Indian
12952,Desserts
12952,Mughlai
12952,Indian
12952,Tandoor
12953,Indian  Chinese  South Indian  Continental
13008,Italian
13008,Continental
13079,North Indian
13079,Chinese
13103,Chinese
13103,Thai
13103,Asian
13103,Beverages
13103,Desserts
13103,Oriental
13103,Seafood
13103,Pan-Asian
13179,Biryani
13179,Andhra
13179,Rayalaseema
13179,South Indian
13179,North Indian
13179,Chinese
13219,Continental
13320,North Indian
13320,Chinese
13320,Kerala
13434,Biryani
13434,North Indian
13434,Chinese
13488,Healthy Food
13488,Fast Food
13488,Beverages
13500,Chinese
13506,Chinese
13552,North Indian
13552,Biryani
13552,Chinese
13571,Mughlai
13571,North Indian
13571,Chinese
13578,Indian
13578,Chinese
13578,Continental
13713,Pizzas
13713,Salads
13713,Combo
13713,Italian
13713,Mexican
13713,Desserts
13713,Beverages
13806,Chinese
13806,Asian
13806,Thai
13806,Seafood
13940,Pizzas
14002,Biryani
14017,Ice Cream
14017,Desserts
14107,Continental
14108,Japanese
14133,North Indian
14133,Chinese
14160,Chinese
14160,Asian
14160,Thai
14333,Beverages  Snacks  Desserts
14725,Mexican
14725,Continental
14894,Sweets  Desserts  Bakery  Beverages
14920,Italian
14920,Italian-American
14920,American
14941,Fast Food
15012,Punjabi
15012,North Indian
15012,Tandoor
15012,Biryani
15012,Combo
15071,American
15071,Mexican
15083,American
15083,Italian
15083,Fast Food
15089,North Indian
15089,Fast Food
15092,Italian
15092,Pizzas
15092,Fast Food
15121,Chinese
15234,Chinese
15234,Thai
15265,Bakery
15265,Continental
15265,Fast Food
15265,Desserts
15268,Continental  Italian  Fast Food  Beverages  Desserts
15287,North Indian
15287,Tandoor
15287,Mughlai
15287,Biryani
15287,Snacks
15287,Desserts
15287,Beverages
15287,Combo
15367,Chinese  North Indian  Continental  Pan-Asian  Italian  American  Tandoor  Fast Food  Desserts
15372,North Indian
15372,Chinese
15372,South Indian
15409,Chinese
15420,Indian  Chinese  Fast Food
15553,North Indian
15553,Chinese
15553,Chettinad
15553,South Indian
15553,Seafood
15567,Biryani
15567,South Indian
15567,Tandoor
15617,North Indian
15617,Chinese
15617,Mediterranean
15617,Continental
15666,Biryani
15666,Mughlai
15666,Lucknowi
15666,Hyderabadi
15666,Kebabs
15666,North Indian
15666,Persian
15666,Desserts
15706,Indian
15706,Chinese
15706,Continental
15794,Mughlai  North Indian  Chinese  Seafood
15837,Pizzas
15837,Pastas
15837,Italian
15837,European
15837,Salads
15837,Continental
15837,Desserts
15837,Beverages
15846,Combo
15846,Snacks
15846,Beverages
15846,Desserts
15846,Indian
15923,Italian
15923,Chinese
15923,Continental
15923,Indian
15955,Maharashtrian
15963,Andhra
15963,South Indian
16022,Chinese
16022,Biryani
16102,Bengali
16107,Bengali
16118,Mughlai
16118,North Indian
16118,Chinese
16118,Fast Food
16118,Biryani
16119,North Indian
16119,Fast Food
16141,Indian
16141,Chinese
16141,Tandoor
16275,Biryani
16275,Hyderabadi
16275,North Indian
16275,Chinese
16275,Beverages
16281,North Indian
16281,Chinese
16296,Chinese
16296,Continental
16296,Spanish
16328,Indian
16328,Bengali
16328,Continental
16341,Chinese
16341,Asian
16341,Oriental
16341,Pan-Asian
16341,Thai
16341,Seafood
16344,Chinese
16344,Asian
16344,Oriental
16344,Pan-Asian
16344,Thai
16344,Seafood
16392,North Indian
16392,Chinese
16394,Indian
16394,Chinese
16394,North Indian
16394,Punjabi
16394,Tandoor
16394,Kebabs
16394,Biryani
16394,Seafood
16394,Oriental
16394,Desserts
16394,Sweets
16394,Beverages
16394,Combo
16448,North Indian
16448,Chinese
16472,Chinese
16489,Italian
16489,American
16493,Chinese
16498,Indian
16498,Chinese
16506,Chinese
16506,Thai
16506,Malaysian
16536,European
16536,Italian
16536,Continental
16536,Healthy Food
16536,Salads
16536,Pizzas
16536,Beverages
16561,Fast Food
16577,Biryani
16577,Chinese
16577,North Indian
16617,North Indian
16617,South Indian
16617,Sweets
16637,Indian
16637,Chinese
16637,South Indian
16637,American
16637,Kebabs
16637,Mughlai
16637,Biryani
16637,Combo
16640,Biryani
16640,Mughlai
16640,Lucknowi
16640,Hyderabadi
16640,Kebabs
16640,North Indian
16640,Persian
16640,Desserts
16659,American
16659,Salads
16659,Mexican
16659,Italian
16659,Steakhouse
16696,Chinese
16770,North Indian
16770,Chinese
16770,Biryani
16770,Continental
16770,Mughlai
16866,Pizzas
16930,North Indian
16974,Chettinad
16974,Chinese
16974,South Indian
16974,Biryani
16974,Tandoor
17106,American
17106,Mexican
17118,Indian
17118,Chinese
17118,South Indian
17118,American
17118,Fast Food
17118,Kebabs
17118,Mughlai
17118,Biryani
17118,Combo
17150,Chinese
17155,Chinese
17167,North Indian
17182,Indian
17182,Chinese
17182,Tandoor
17183,North Indian
17183,Chinese
17196,Ice Cream
17196,Desserts
17196,Bakery
17304,American
17304,Fast Food
17304,Snacks
17345,Biryani
17345,Chinese
17345,Andhra
17345,North Indian
17345,South Indian
17345,Tandoor
17346,Biryani
17346,Chinese
17346,Andhra
17346,North Indian
17346,South Indian
17346,Tandoor
17376,Desserts
17376,Bakery
17395,Maharashtrian
17395,Malwani
17395,Mangalorean
17395,Goan
17395,Konkan
17407,Continental
17456,North Indian
17456,Mughlai
17456,Kebabs
17456,Mediterranean
17456,Greek
17456,Turkish
17456,Lebanese
17466,Fast Food
17466,Portuguese
17466,African
17466,Grill
17466,Salads
17499,Combo
17499,Snacks
17499,Beverages
17499,Desserts
17499,Indian
17595,Indian
17602,North Indian
17602,Chinese
17602,Italian
17602,Pizzas
17602,Thai
17629,Chinese
17632,Beverages
17632,Desserts
17632,Continental
17702,Chinese
17702,Tibetan
17702,Street Food
17702,Fast Food
17702,Beverages
17895,Chinese
17895,Thai
17901,Indian
17901,Chinese
17901,Continental
17906,Chinese
17907,Arabian
17907,Biryani
17907,Chinese
17907,Grill
17907,Hyderabadi
17907,Indian
17907,North Indian
17907,Tandoor
18007,Beverages
18007,Snacks
18007,Desserts
18012,Beverages  Snacks  Desserts
18049,Chinese
18085,Maharashtrian
18085,North Indian
18086,Italian
18086,Pizzas
18087,Chinese
18090,Mughlai
18090,North Indian
18090,Continental
18107,Bengali
18114,Indian
18114,Chinese
18114,Tandoor
18114,Biryani
18114,Fast Food
18114,North Indian
18114,Snacks
18182,North Indian  Chinese  Seafood
18333,Bakery
18333,Desserts
18333,American
18333,Italian
18333,Beverages
18359,Indian
18359,Chinese
18360,Desserts
18464,North Indian
18464,South Indian
18464,Chinese
18464,Fast Food
18464,Juices
18464,Tandoor
18518,Tibetan
18518,Healthy Food
18518,Asian
18518,Chinese
18518,Snacks
18518,Continental
18518,Desserts
18518,Beverages
18551,Continental
18551,Italian
18591,Japanese
18591,Sushi
18591,Thai
18614,North Indian
18614,Chinese
18614,Mexican
18614,Continental
18614,Mughlai
18614,Thai
18620,North Indian
18620,Chinese
18620,Seafood
18620,Biryani
18693,South Indian  Continental  Beverages  Ice Cream
18808,Combo
18808,Snacks
18808,Beverages
18808,Desserts
18808,Indian
18828,Snacks
18828,Fast Food
18828,Street Food
18828,Beverages
18837,Desserts
18837,Bakery
18846,Biryani
18846,South Indian
18846,Indian
18851,Indian
18851,Chinese
18853,Chinese
18853,Bengali
18856,North Indian
18856,Chinese
18857,Chinese
18861,North Indian
18861,Chinese
18861,Fast Food
18861,South Indian
18879,Japanese
18879,Pan-Asian
18879,Chinese
18945,Mughlai
18945,North Indian
18945,Chinese
18981,North Indian
18981,Chinese
18981,Biryani
18987,Biryani
18987,Andhra
18987,South Indian
18987,North Indian
19000,Italian
19000,Continental
19000,Arabian
19000,Bakery
19009,Asian
19172,Chinese
19187,Chinese
19187,North Indian
19187,South Indian
19197,Indian
19197,Chinese
19200,North Indian
19200,Chinese
19212,Snacks
19212,North Indian
19212,Chinese
19212,Fast Food
19212,Indian
19212,Kebabs
19221,Italian
19221,Snacks
19221,Desserts
19221,Continental
19221,Beverages
19221,Combo
19228,Fast Food
19344,Mughlai
19344,Chinese
19450,Chinese
19450,Continental
19450,Fast Food
19450,Snacks
19515,Indian
19515,Biryani
19515,Chinese
19515,Tandoor
19518,Italian
19518,Steakhouse
19518,Continental
19521,Beverages  Snacks  Desserts
19532,Mughlai
19532,North Indian
19532,Chinese
19532,Seafood
19580,North Indian
19580,Chinese
19643,American
19643,Fast Food
19870,North Indian
19870,Chinese
19870,Malwani
19870,Maharashtrian
19871,Mughlai
19871,North Indian
19871,Chinese
19871,South Indian
19917,Asian
19927,Japanese
19927,Korean
19939,North Indian
19939,Chinese
19939,Continental
19940,Continental
19942,Mughlai
19942,Chinese
19942,Tandoor
19942,Biryani
19942,Fast Food
19952,North Indian
19981,Desserts
19981,Bakery
19981,Beverages
19981,Fast Food
19981,Combo
20058,Biryani
20058,North Indian
20058,Indian
20058,Maharashtrian
20154,North Indian
20154,Seafood
20154,Malwani
20166,Mughlai
20166,North Indian
20194,North Indian
20194,Chinese
20234,North Indian
20234,Biryani
20330,Maharashtrian
20435,Street Food
20435,North Indian
20435,Chinese
20435,Beverages
20435,South Indian
20438,North Indian
20438,Chinese
20438,Punjabi
20438,Biryani
20438,Tandoor
20440,Mughlai
20440,North Indian
20440,Chinese
20486,Fast Food
20501,Mughlai
20501,North Indian
20501,Chinese
20501,Biryani
20510,Indian
20510,Chinese
20510,Tandoor
20513,Indian
20513,Chinese
20513,Tandoor
20514,Lebanese
20514,Continental
20526,Indian
20568,Pizzas
20568,Italian
20568,Pastas
20570,North Indian
20637,Chinese
20637,Thai
20646,North Indian  Malwani  Continental  South Indian  Chinese  Asian  Mughlai
20653,Pizzas
20653,Italian
20732,Continental
20747,Chettinad
20747,South Indian
20760,North Indian
20812,Chinese
20812,Fast Food
20855,Maharashtrian
20855,Seafood
20929,North Indian
20929,South Indian
20929,Malaysian
20929,Indian
20961,Indian
20961,Chinese
20961,North Indian
20961,Tandoor
20970,Pizzas
20970,Italian
21001,Pizzas
21001,Fast Food
21032,Fast Food
21058,Continental
21058,European
21077,Mughlai
21077,Chinese
21077,Seafood
21105,Mughlai
21105,North Indian
21180,Chinese
21180,Asian
21180,Thai
21180,Tibetan
21180,Mongolian
21180,Combo
21180,Vietnamese
21180,Burmese
21180,Pan-Asian
21227,North Indian
21227,Chinese
21227,Seafood
21227,Biryani
21227,Asian
21232,South Indian
21232,Biryani
21232,Kebabs
21238,Biryani
21238,Hyderabadi
21238,North Indian
21238,Indian
21238,Tandoor
21238,Punjabi
21257,Beverages
21257,Desserts
21404,Biryani
21404,Hyderabadi
